,organization name,address1,city,state,zip,servicesummary,hours,website
0,12 & 12,1214 S. Baltimore Ave,Tulsa,OK,74119.0,Transitional Housing,,
1,12 & 12,6333 E Skelly Dr,Tulsa,OK,74135.0,Transitional Housing,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,http://www.grandaddictionrecovery.com/
2,1260 Housing Development Corporation,1912 N 4Th St,Philadelphia,PA,19122.0,Permanent Supportive Housing,,
3,1260 Housing Development Corporation,2025 Chestnut Street,Philadelphia,PA,19103.0,Permanent Supportive Housing,,
4,1260 Housing Development Corporation,4113 Warren Street,Philadelphia,PA,19104.0,Permanent Supportive Housing,,
5,1260 Housing Development Corporation,4230 W Thompson Street,Philadelphia,PA,19104.0,Permanent Supportive Housing,,
6,1260 Housing Development Corporation,503 Reed Street,Philadelphia,PA,19147.0,Permanent Supportive Housing,,
7,1260 Housing Development Corporation,Frankford Ave,Philadelphia,PA,19122.0,Permanent Supportive Housing,,
8,1260 Housing Development Corporation,,,PA,19131.0,Permanent Supportive Housing,,
9,1260 Housing Development Corporation,,Philadelphia,PA,19135.0,Permanent Supportive Housing,,
10,163rd Street Council,1345 Franklin Avenue,Bronx,NY,10456.0,Permanent Supportive Housing,,
11,163rd Street Council,995 Ogden Ave,Bronx,NY,10452.0,Permanent Supportive Housing,,http://www.163council.org/
12,1736 Family Crisis Center,1044 S. Figueroa St.,Wilmington,CA,90744.0,Rapid Re-Housing,,
13,1736 Family Crisis Center,1736 Monterey Blvd.,Hermosa Beach,CA,90254.0,Emergency Shelter,,http://www.1736familycrisiscenter.org/
14,1736 Family Crisis Center,"21707 Hawthorne Blvd., Ste. 300",Torrance,CA,90503.0,"Transitional Housing, Rapid Re-Housing, Emergency Shelter",,http://www.1736familycrisiscenter.org/
15,1736 Family Crisis Center,Confidential,Santa Monica,CA,90401.0,Emergency Shelter,,
16,1736 Family Crisis Center,,Garden Grove,CA,92840.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.1736familycrisiscenter.org/
17,180 Degrees,236 Clifton Ave S,Minneapolis,MN,55403.0,Emergency Shelter,Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.180degrees.org/
18,180 Turning Lives Around,,,NJ,7730.0,Permanent Supportive Housing,,
19,1st Congregational Church,164 Deer Hill Ave,Danbury,CT,6810.0,Emergency Shelter,Monday: Closed Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: Closed Saturday: Closed Sunday: 10:00AM–12:00PM ,http://danburychurch.org/
20,1st. United Methodist Church,508 E. Main St.,Champaign,IL,61820.0,Emergency Shelter,,
21,211 United Way,9644 Hermosa Avenue,Rancho Cucamonga,CA,91730.0,Emergency Shelter,,
22,"24/7 Gateway, LLC",1135 Jefferson St Nw,Atlanta,GA,30318.0,Emergency Shelter,,
