Organization Name,address1,address2,city,State,zip,ServiceSummary
ACH Child and Family Services,3712 WICHITA ST,,FORT WORTH,TX,76119,Transitional Housing
Presbyterian Night Shelter,2401 CYPRESS ST,,FORT WORTH,TX,76102,Emergency Shelter
Presbyterian Night Shelter,2400 CYPRESS ST,,FORT WORTH,TX,76102,Emergency Shelter
Presbyterian Night Shelter,2400 CYPRESS ST,,FORT WORTH,TX,76102,Emergency Shelter
Presbyterian Night Shelter,2400 Cypress St,,Fort Worth,TX,76102,Emergency Shelter
Fort Worth Housing Solutions,1201 E 13th Street,,Fort Worth,TX,76102,Permanent Supportive Housing
The Salvation Army Fort Worth,1855 E LANCASTER AVE,,FORT WORTH,TX,76103,Emergency Shelter
The Salvation Army Fort Worth,1855 E LANCASTER AVE,,FORT WORTH,TX,76103,Emergency Shelter
The Salvation Army Fort Worth,1855 E LANCASTER AVE,,FORT WORTH,TX,76103,Emergency Shelter
ACH Child and Family Services,3712 WICHITA ST,,FORT WORTH,TX,76119,Emergency Shelter
Presbyterian Night Shelter,2320 CYPRESS ST,,FORT WORTH,TX,76102,Transitional Housing
CitySquare,4532 Altamesa Blvd,,Fort Worth,TX,76133,Rapid Re-Housing
Catholic Charities of Fort Worth,249 W THORNHILL DR,,FORT WORTH,TX,76115,Rapid Re-Housing
Samaritan Housing of Tarrant County,929 HEMPHILL ST,,FORT WORTH,TX,76104,Permanent Supportive Housing
MHMR of Tarrant County,300 Pennsylvania Avenue,,Fort Worth,TX,76102,Permanent Supportive Housing
Samaritan Housing of Tarrant County,929 HEMPHILL ST,,FORT WORTH,TX,76104,Permanent Supportive Housing
The Salvation Army Fort Worth,1855 E Lancaster Ave,,FORT WORTH,TX,76103,Rapid Re-Housing
The Salvation Army Fort Worth,1855 E Lancaster Ave,,FORT WORTH,TX,76103,Rapid Re-Housing
Tarrant County,1509B S. University Drive Suite 276,,Fort Worth,TX,76107,Rapid Re-Housing
Center for Transforming Lives,512 W 4TH ST,,FORT WORTH,TX,76102,Rapid Re-Housing
Presbyterian Night Shelter,2400 CYPRESS ST,,FORT WORTH,TX,76102,Rapid Re-Housing
Center for Transforming Lives,512 W 4TH ST,,FORT WORTH,TX,76102,Rapid Re-Housing
Community Enrichment Center,3500 Noble Ave,,Fort Worth,TX,76111,Rapid Re-Housing
Fort Worth Housing Solutions,,,Fort Worth,TX,76102,Permanent Supportive Housing
The Salvation Army Fort Worth,1855 E LANCASTER AVE,,FORT WORTH,TX,76103,Emergency Shelter
Samaritan Housing of Tarrant County,929 HEMPHILL ST,,FORT WORTH,TX,76104,Permanent Supportive Housing
Presbyterian Night Shelter,1500 E PRESIDIO ST,,FORT WORTH,TX,76102,Short Term Housing
MHMR of Tarrant County,1855 E LANCASTER AVE,,FORT WORTH,TX,76103,Permanent Supportive Housing
MHMR of Tarrant County,1501 E EL PASO ST STE B,,FORT WORTH,TX,76102,Transitional Housing
Center for Transforming Lives,512 W 4TH ST,,FORT WORTH,TX,76102,Emergency Shelter
United Housing Connections,155 SPEEDWAY DR,,FOUNTAIN INN,SC,29644,Permanent Supportive Housing
South Middlesex Opportunity Council Inc.,CONFIDENTIAL,,Framingham,MA,1701,Emergency Shelter
South Middlesex Opportunity Council,7 BISHOP ST,,FRAMINGHAM,MA,1702,Emergency Shelter
Wayside Youth and Family,,,Framingham,MA,1702,Transitional Housing
Wayside Youth and Family,1 FREDERICK ABBOTT WAY,,FRAMINGHAM,MA,1701,Emergency Shelter
South Middlesex Opportunity Council Inc.,517 WINTER ST,,FRAMINGHAM,MA,1702,Emergency Shelter
South Middlesex Opportunity Council Inc.,,,FRAMINGHAM,MA,1702,Permanent Supportive Housing
South Middlesex Opportunity Council Inc.,75 HOLLIS ST,,FRAMINGHAM,MA,1702,Permanent Supportive Housing
South Middlesex Opportunity Council Inc.,,,FRAMINGHAM,MA,1702,Permanent Supportive Housing
South Middlesex Opportunity Council Inc.,3 MERCHANT RD,,FRAMINGHAM,MA,1702,Emergency Shelter
South Middlesex Opportunity Council Inc.,46 PRATT ST,,FRAMINGHAM,MA,1702,Other Permanent Housing
South Middlesex Opportunity Council Inc.,360 UNION AVE,,FRAMINGHAM,MA,1702,Other Permanent Housing
South Middlesex Opportunity Council Inc.,89 BETHANY RD,,FRAMINGHAM,MA,1702,Permanent Supportive Housing
South Middlesex Opportunity Council Inc.,46 GORDON ST,,FRAMINGHAM,MA,1702,Emergency Shelter
South Middlesex Opportunity Council Inc.,61 CLINTON ST,,FRAMINGHAM,MA,1702,Emergency Shelter
South Middlesex Opportunity Council Inc.,70 PEARL ST,,FRAMINGHAM,MA,1702,Emergency Shelter
South Middlesex Opportunity Council Inc.,248 EDGELL RD,,FRAMINGHAM,MA,1701,Emergency Shelter
South Middlesex Opportunity Council Inc.,3 BEAVER PARK RD,,FRAMINGHAM,MA,1702,Emergency Shelter
Bancroft House,104 HARVARD ST,,FRANCONIA,NH,3580,Emergency Shelter
Homeless and Housing Coalition of Kentucky,306 W Main St,Suite 207,Frankfort,KY,40601,Permanent Supportive Housing
Kentucky Housing Corporation,1231 Louisville Rd.,,Frankfort,KY,40601,Permanent Supportive Housing
Coalition of Committed Christians(402),311 W 2ND ST,,FRANKFORT,KY,40601,Emergency Shelter
Simon House(531),208 W CAMPBELL ST,,FRANKFORT,KY,40601,Transitional Housing
Franklin County Women and Family Shelter â€“ BoS,303 E 3RD ST,,FRANKFORT,KY,40601,Emergency Shelter
