Organization Name,address1,address2,city,State,zip,ServiceSummary
MHA Aiken ,232 Greenville St NW,,29801,SC,29801,Transitional Housing
Solano County Housing Authority,"675 Texas Street, Suite 5500",,61266,CA,94533,Permanent Supportive Housing
City of Kenner Community Development,210 Rev. Richard Wilson Drive,,70062,LA,70062,Emergency Shelter
Swords to Plowshares,"1060 Howard St,",,", San Francisco",CA,94103,Permanent Supportive Housing
Lake County Office of Education,Lake County Office of Education,,1152 S Main St,CA,95453,Permanent Supportive Housing
Riverwood Mental Health Services,21 Peace St. Floor 5 W,,21 Peace St. Floor 5 W,RI,2907,Permanent Supportive Housing
A Place For Us Ministries,302 Mill Road North,,Abbeville,SC,29620,Transitional Housing
"Harford Family House, Inc.",53 E BEL AIR AVE APT 3,,ABERDEEN,MD,21001,Emergency Shelter
"Harford Family House, Inc.",53 E BEL AIR AVE APT 3,,ABERDEEN,MD,21001,Transitional Housing
"Harford Family House, Inc.",53 E BEL AIR AVE APT 3,,ABERDEEN,MD,21001,Permanent Supportive Housing
Family Promise of Moore County,303 PEACH AVE,,ABERDEEN,NC,28315,Emergency Shelter
Journey Church,420 S WASHINGTON ST,,ABERDEEN,SD,57401,Emergency Shelter
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Rapid Re-Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Rapid Re-Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Permanent Supportive Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Rapid Re-Housing
Coastal Community Action Program (Grays Harbor),111 N - D St,,Aberdeen,WA,98520,Emergency Shelter
Coastal Community Action Program (Grays Harbor),620 E Market Street,,Aberdeen,WA,98520,Emergency Shelter
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Emergency Shelter
Coastal Community Action Program (Grays Harbor),620 E Market Street,,Aberdeen,WA,98520,Emergency Shelter
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Permanent Supportive Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Permanent Supportive Housing
